bill_id,customer_id,month,amount_due_egp,amount_paid_egp,late_days,payment_failures
B1,C10001,2024-01,392.28,392.28,3,0
B2,C10001,2024-02,403.05,403.05,0,0
B3,C10001,2024-03,405.36,405.36,2,0
B4,C10001,2024-04,413.57,413.57,2,0
B5,C10001,2024-05,398.79,398.79,2,0
B6,C10001,2024-06,393.6,393.6,1,0
B7,C10001,2024-07,383.02,383.02,0,0
B8,C10001,2024-08,403.53,403.53,5,0
B9,C10001,2024-09,379.03,379.03,0,0
B10,C10001,2024-10,377.78,377.78,6,0
B11,C10001,2024-11,395.49,395.49,0,0
B12,C10001,2024-12,401.92,401.92,3,0
B13,C10002,2024-01,215.28,107.64,17,1
B14,C10002,2024-02,204.22,204.22,1,0
B15,C10002,2024-03,217.4,217.4,4,0
B16,C10002,2024-04,226.77,113.39,9,1
B17,C10002,2024-05,205.42,205.42,1,0
B18,C10002,2024-06,230.85,230.85,2,0
B19,C10002,2024-07,247.29,197.83,12,1
B20,C10002,2024-08,203.6,203.6,1,0
B21,C10002,2024-09,224.27,224.27,3,0
B22,C10002,2024-10,224.48,224.48,0,0
B23,C10002,2024-11,233.35,233.35,1,0
B24,C10002,2024-12,203.65,101.83,20,1
B25,C10003,2024-01,840.12,840.12,3,0
B26,C10003,2024-02,837.15,837.15,3,0
B27,C10003,2024-03,783.75,783.75,3,0
B28,C10003,2024-04,817.89,817.89,0,0
B29,C10003,2024-05,841.0,841.0,0,0
B30,C10003,2024-06,809.22,809.22,0,0
B31,C10003,2024-07,808.34,808.34,0,0
B32,C10003,2024-08,807.57,403.79,0,0
B33,C10003,2024-09,803.65,803.65,3,0
B34,C10003,2024-10,819.84,819.84,4,0
B35,C10003,2024-11,829.28,829.28,0,0
B36,C10003,2024-12,845.39,845.39,0,0
B37,C10004,2024-01,610.36,610.36,0,0
B38,C10004,2024-02,609.18,609.18,0,0
B39,C10004,2024-03,632.15,632.15,1,0
B40,C10004,2024-04,635.14,0.0,5,0
B41,C10004,2024-05,611.86,611.86,0,0
B42,C10004,2024-06,606.72,606.72,0,0
B43,C10004,2024-07,556.33,556.33,1,0
B44,C10004,2024-08,628.96,628.96,3,0
B45,C10004,2024-09,633.32,633.32,2,0
B46,C10004,2024-10,608.85,608.85,3,0
B47,C10004,2024-11,623.67,311.83,5,1
B48,C10004,2024-12,630.54,630.54,5,0
B49,C10005,2024-01,224.96,224.96,1,0
B50,C10005,2024-02,248.97,248.97,0,0
B51,C10005,2024-03,210.49,210.49,1,0
B52,C10005,2024-04,247.21,247.21,2,0
B53,C10005,2024-05,236.41,236.41,1,0
B54,C10005,2024-06,223.67,223.67,2,0
B55,C10005,2024-07,204.94,204.94,2,0
B56,C10005,2024-08,247.0,247.0,2,0
B57,C10005,2024-09,226.38,226.38,0,0
B58,C10005,2024-10,239.99,239.99,0,0
B59,C10005,2024-11,228.97,228.97,1,0
B60,C10005,2024-12,216.67,216.67,0,0
B61,C10006,2024-01,344.31,344.31,1,0
B62,C10006,2024-02,314.87,157.44,6,1
B63,C10006,2024-03,315.3,315.3,0,0
B64,C10006,2024-04,321.95,321.95,0,0
B65,C10006,2024-05,328.5,328.5,0,0
B66,C10006,2024-06,338.3,338.3,0,0
B67,C10006,2024-07,318.58,318.58,0,0
B68,C10006,2024-08,331.49,331.49,5,0
B69,C10006,2024-09,315.0,315.0,3,0
B70,C10006,2024-10,338.19,338.19,0,0
B71,C10006,2024-11,304.33,304.33,0,0
B72,C10006,2024-12,330.91,330.91,0,0
B73,C10007,2024-01,141.96,141.96,6,0
B74,C10007,2024-02,207.34,207.34,0,0
B75,C10007,2024-03,170.56,170.56,1,0
B76,C10007,2024-04,178.22,0.0,5,0
B77,C10007,2024-05,175.65,175.65,2,0
B78,C10007,2024-06,204.83,204.83,4,0
B79,C10007,2024-07,184.87,184.87,2,0
B80,C10007,2024-08,183.5,183.5,5,0
B81,C10007,2024-09,209.96,209.96,1,0
B82,C10007,2024-10,197.35,197.35,4,0
B83,C10007,2024-11,193.07,193.07,0,0
B84,C10007,2024-12,154.74,154.74,5,0
B85,C10008,2024-01,551.35,551.35,3,0
B86,C10008,2024-02,577.03,577.03,4,0
B87,C10008,2024-03,582.27,582.27,3,0
B88,C10008,2024-04,572.52,572.52,0,0
B89,C10008,2024-05,587.23,587.23,1,0
B90,C10008,2024-06,587.71,293.86,8,1
B91,C10008,2024-07,538.32,538.32,4,0
B92,C10008,2024-08,577.32,577.32,0,0
B93,C10008,2024-09,558.83,558.83,0,0
B94,C10008,2024-10,583.37,583.37,1,0
B95,C10008,2024-11,598.28,598.28,0,0
B96,C10008,2024-12,569.04,569.04,1,0
B97,C10009,2024-01,320.47,320.47,1,0
B98,C10009,2024-02,295.66,295.66,0,0
B99,C10009,2024-03,316.13,316.13,0,0
B100,C10009,2024-04,292.83,292.83,7,0
B101,C10009,2024-05,330.15,330.15,1,0
B102,C10009,2024-06,288.07,288.07,2,0
B103,C10009,2024-07,317.77,317.77,5,0
B104,C10009,2024-08,320.58,320.58,1,0
B105,C10009,2024-09,321.82,321.82,5,0
B106,C10009,2024-10,297.81,297.81,1,0
B107,C10009,2024-11,308.22,308.22,0,0
B108,C10009,2024-12,300.63,300.63,2,0
B109,C10010,2024-01,677.58,677.58,6,0
B110,C10010,2024-02,634.88,634.88,11,0
B111,C10010,2024-03,671.69,671.69,2,0
B112,C10010,2024-04,673.07,336.54,7,1
B113,C10010,2024-05,658.33,658.33,2,0
B114,C10010,2024-06,653.19,653.19,0,0
B115,C10010,2024-07,672.24,0.0,9,1
B116,C10010,2024-08,638.56,638.56,4,0
B117,C10010,2024-09,644.87,0.0,3,1
B118,C10010,2024-10,641.03,512.82,12,1
B119,C10010,2024-11,654.86,654.86,0,0
B120,C10010,2024-12,658.08,658.08,0,0
B121,C10011,2024-01,205.42,0.0,13,1
B122,C10011,2024-02,217.43,217.43,4,0
B123,C10011,2024-03,231.06,184.85,4,1
B124,C10011,2024-04,207.77,103.89,12,1
B125,C10011,2024-05,200.06,200.06,2,0
B126,C10011,2024-06,214.4,214.4,2,0
B127,C10011,2024-07,215.86,215.86,0,0
B128,C10011,2024-08,217.94,217.94,1,0
B129,C10011,2024-09,193.99,193.99,2,0
B130,C10011,2024-10,215.75,215.75,1,0
B131,C10011,2024-11,160.64,160.64,6,0
B132,C10011,2024-12,218.05,218.05,0,0
B133,C10012,2024-01,268.36,268.36,1,0
B134,C10012,2024-02,266.96,266.96,2,0
B135,C10012,2024-03,249.6,249.6,6,0
B136,C10012,2024-04,255.17,255.17,2,0
B137,C10012,2024-05,252.94,252.94,0,0
B138,C10012,2024-06,288.85,288.85,1,0
B139,C10012,2024-07,271.86,271.86,0,0
B140,C10012,2024-08,267.8,267.8,2,0
B141,C10012,2024-09,248.31,248.31,9,0
B142,C10012,2024-10,218.1,218.1,3,0
B143,C10012,2024-11,255.71,255.71,0,0
B144,C10012,2024-12,265.92,265.92,1,0
B145,C10013,2024-01,778.72,778.72,9,0
B146,C10013,2024-02,788.48,788.48,0,0
B147,C10013,2024-03,802.52,802.52,1,0
B148,C10013,2024-04,793.25,793.25,0,0
B149,C10013,2024-05,800.36,800.36,2,0
B150,C10013,2024-06,806.66,806.66,1,0
B151,C10013,2024-07,799.45,799.45,0,0
B152,C10013,2024-08,778.11,778.11,9,0
B153,C10013,2024-09,795.87,795.87,1,0
B154,C10013,2024-10,781.62,781.62,2,0
B155,C10013,2024-11,802.95,802.95,0,0
B156,C10013,2024-12,795.48,795.48,1,0
B157,C10014,2024-01,215.09,215.09,1,0
B158,C10014,2024-02,185.9,185.9,2,0
B159,C10014,2024-03,183.98,183.98,0,0
B160,C10014,2024-04,183.37,183.37,0,0
B161,C10014,2024-05,190.95,190.95,0,0
B162,C10014,2024-06,168.39,168.39,1,0
B163,C10014,2024-07,197.0,197.0,1,0
B164,C10014,2024-08,195.85,195.85,0,0
B165,C10014,2024-09,187.97,187.97,0,0
B166,C10014,2024-10,210.27,210.27,0,0
B167,C10014,2024-11,179.5,179.5,3,0
B168,C10014,2024-12,172.36,172.36,1,0
B169,C10015,2024-01,269.23,0.0,2,0
B170,C10015,2024-02,284.41,284.41,0,0
B171,C10015,2024-03,314.28,314.28,1,0
B172,C10015,2024-04,288.39,230.71,14,1
B173,C10015,2024-05,301.57,301.57,1,0
B174,C10015,2024-06,306.92,306.92,7,0
B175,C10015,2024-07,312.75,312.75,3,0
B176,C10015,2024-08,308.85,308.85,1,0
B177,C10015,2024-09,304.53,304.53,5,0
B178,C10015,2024-10,317.06,317.06,1,0
B179,C10015,2024-11,301.99,301.99,2,0
B180,C10015,2024-12,290.72,290.72,0,0
B181,C10016,2024-01,343.25,343.25,2,0
B182,C10016,2024-02,346.02,346.02,1,0
B183,C10016,2024-03,359.92,359.92,4,0
B184,C10016,2024-04,336.8,336.8,0,0
B185,C10016,2024-05,338.41,338.41,0,0
B186,C10016,2024-06,338.93,338.93,2,0
B187,C10016,2024-07,370.88,370.88,5,0
B188,C10016,2024-08,339.82,339.82,1,0
B189,C10016,2024-09,343.65,343.65,4,0
B190,C10016,2024-10,337.1,337.1,1,0
B191,C10016,2024-11,338.61,338.61,3,0
B192,C10016,2024-12,334.51,267.61,12,1
B193,C10017,2024-01,610.76,610.76,5,0
B194,C10017,2024-02,623.22,623.22,1,0
B195,C10017,2024-03,623.81,623.81,1,0
B196,C10017,2024-04,584.79,584.79,3,0
B197,C10017,2024-05,619.99,619.99,5,0
B198,C10017,2024-06,614.19,614.19,5,0
B199,C10017,2024-07,627.27,627.27,0,0
B200,C10017,2024-08,623.58,623.58,0,0
B201,C10017,2024-09,634.58,634.58,1,0
B202,C10017,2024-10,626.74,626.74,2,0
B203,C10017,2024-11,641.39,641.39,0,0
B204,C10017,2024-12,627.59,627.59,0,0
B205,C10018,2024-01,789.34,394.67,12,1
B206,C10018,2024-02,784.72,784.72,3,0
B207,C10018,2024-03,775.04,775.04,1,0
