customer_id,churned,churn_date,churn_reason,churn_probability_raw,clv_egp
C10001,1,2024-11-22,Price,0.4719,14208.93
C10002,0,,No churn,0.4264,12054.74
C10003,1,2024-07-25,Moving,0.7347,39227.81
C10004,1,2024-08-16,Competitor offer,0.5806,23863.79
C10005,0,,No churn,0.1957,3547.45
C10006,0,,No churn,0.2098,14549.38
C10007,0,,No churn,0.1449,7747.36
C10008,1,2024-12-10,Network quality,0.6904,6295.84
C10009,0,,No churn,0.2023,11912.37
C10010,1,2024-12-07,Network quality,0.9064,21004.1
C10011,0,,No churn,0.1813,8131.53
C10012,1,2024-12-16,Competitor offer,0.1429,7879.19
C10013,0,,No churn,0.662,31737.47
C10014,0,,No churn,0.0373,11539.99
C10015,1,2024-07-08,Price,0.3737,7742.02
C10016,1,2024-07-11,Competitor offer,0.4605,10702.77
C10017,0,,No churn,0.5015,28218.42
C10018,0,,No churn,0.8376,25376.36
C10019,0,,No churn,0.0839,7385.14
C10020,1,2024-12-05,Price,0.4925,16810.03
C10021,0,,No churn,0.5649,32537.28
C10022,1,2024-07-26,Competitor offer,0.7952,7989.42
C10023,1,2024-09-14,Price,0.8294,18764.08
C10024,0,,No churn,0.3545,6549.74
C10025,1,2024-10-02,Poor service,0.2787,12453.17
C10026,0,,No churn,0.2222,9353.92
C10027,1,2024-08-28,Moving,0.2492,5648.71
C10028,1,2024-10-15,Poor service,0.4623,10186.58
C10029,1,2024-08-14,Poor service,0.9031,16549.23
C10030,0,,No churn,0.3851,13921.64
C10031,1,2024-07-15,Network quality,0.7483,10593.36
C10032,1,2024-07-23,Price,0.2331,8925.23
C10033,0,,No churn,0.6329,28064.63
C10034,0,,No churn,0.7378,8570.83
C10035,0,,No churn,0.4572,18815.82
C10036,0,,No churn,0.2403,18962.5
C10037,1,2024-10-08,Other,0.2852,20918.33
C10038,1,2024-09-20,Competitor offer,0.3644,29305.58
C10039,0,,No churn,0.2164,18015.63
C10040,1,2024-10-10,Network quality,0.3452,26444.05
C10041,0,,No churn,0.2129,24614.91
C10042,1,2024-11-16,Price,0.9143,18188.54
C10043,0,,No churn,0.5379,25679.03
C10044,0,,No churn,0.0854,9766.57
C10045,0,,No churn,0.389,17391.21
C10046,0,,No churn,0.3707,25083.32
C10047,0,,No churn,0.2796,7470.53
C10048,0,,No churn,0.2573,7863.85
C10049,1,2024-12-01,Poor service,0.3252,13520.92
C10050,1,2024-11-15,Moving,0.6393,41841.77
C10051,0,,No churn,0.5274,4650.66
C10052,0,,No churn,0.1665,2638.86
C10053,1,2024-07-19,Competitor offer,0.7932,21079.16
C10054,0,,No churn,0.2461,13942.09
C10055,1,2024-07-13,Competitor offer,0.4078,19411.38
C10056,0,,No churn,0.3175,9193.52
C10057,1,2024-11-05,Other,0.6475,13562.81
C10058,0,,No churn,0.1227,6135.93
C10059,0,,No churn,0.3803,19269.51
C10060,0,,No churn,0.5475,6455.42
C10061,1,2024-11-08,Competitor offer,0.57,15503.14
C10062,0,,No churn,0.2454,19615.96
C10063,1,2024-12-27,Competitor offer,0.7751,19492.79
C10064,0,,No churn,0.4572,5633.46
C10065,0,,No churn,0.1332,27049.75
C10066,1,2024-12-21,Price,0.3272,10103.1
C10067,0,,No churn,0.438,6873.62
C10068,1,2024-12-11,Network quality,0.2015,9722.78
C10069,1,2024-08-12,Competitor offer,0.8764,21996.98
C10070,1,2024-07-21,Price,0.5999,16306.98
C10071,0,,No churn,0.2455,6351.43
C10072,1,2024-12-06,Price,0.524,22372.92
C10073,1,2024-07-19,Poor service,0.124,5624.46
C10074,1,2024-10-14,Poor service,0.378,5240.25
C10075,0,,No churn,0.4201,33965.81
C10076,0,,No churn,0.2791,6453.1
C10077,0,,No churn,0.4648,10981.79
C10078,1,2024-10-27,Other,0.345,7913.54
