customer_id,gender,age,city,region,join_date,contract_type,payment_method,senior_citizen,partner,dependents,paperless_billing
C10001,Male,48,Cairo,Greater Cairo,2021-07-17,Month-to-month,Electronic check,Yes,Yes,No,Yes
C10002,Male,40,Tanta,Delta,2021-04-21,Month-to-month,Electronic check,No,No,Yes,Yes
C10003,Female,51,Cairo,Greater Cairo,2020-11-22,One year,Mailed check,Yes,No,Yes,Yes
C10004,Male,63,Assiut,Upper Egypt,2021-12-05,One year,Credit card,No,Yes,No,Yes
C10005,Female,38,Ismailia,Suez,2023-06-20,Two year,Mailed check,No,Yes,Yes,Yes
C10006,Female,38,Giza,Greater Cairo,2021-04-21,Two year,Mailed check,No,No,Yes,Yes
C10007,Male,64,Ismailia,Suez,2021-06-30,One year,Bank transfer,Yes,Yes,Yes,Yes
C10008,Female,52,Mansoura,Delta,2023-08-03,One year,Electronic check,No,Yes,Yes,No
C10009,Female,35,Luxor,Upper Egypt,2021-07-02,Month-to-month,Credit card,No,No,Yes,Yes
C10010,Female,49,Ismailia,Suez,2022-07-28,Month-to-month,Electronic check,No,No,No,No
C10011,Female,35,Assiut,Upper Egypt,2021-03-25,Two year,Electronic check,No,Yes,Yes,Yes
C10012,Male,35,Ismailia,Suez,2022-05-14,One year,Mailed check,No,No,No,No
C10013,Male,45,Ismailia,Suez,2020-08-22,One year,Bank transfer,No,No,Yes,Yes
C10014,Male,18,Aswan,Upper Egypt,2020-01-07,Two year,Credit card,No,Yes,Yes,No
C10015,Female,18,Ismailia,Suez,2022-11-05,One year,Electronic check,No,Yes,No,Yes
C10016,Male,34,Assiut,Upper Egypt,2021-09-21,Month-to-month,Electronic check,No,Yes,Yes,Yes
C10017,Male,27,Port Said,Suez,2020-09-14,Month-to-month,Mailed check,No,No,No,No
C10018,Male,46,Hurghada,Red Sea,2021-09-30,Month-to-month,Bank transfer,No,No,Yes,Yes
C10019,Male,29,Assiut,Upper Egypt,2020-02-13,One year,Electronic check,No,Yes,Yes,Yes
C10020,Male,22,Assiut,Upper Egypt,2020-05-25,Month-to-month,Electronic check,No,Yes,No,Yes
C10021,Female,62,Luxor,Upper Egypt,2021-01-24,Month-to-month,Bank transfer,No,No,No,No
C10022,Male,38,Ismailia,Suez,2023-08-31,Two year,Electronic check,No,No,Yes,Yes
C10023,Male,42,Port Said,Suez,2022-07-07,Month-to-month,Electronic check,No,Yes,No,No
C10024,Male,22,Cairo,Greater Cairo,2023-08-28,Two year,Credit card,No,Yes,Yes,Yes
C10025,Female,34,Tanta,Delta,2022-04-01,Two year,Electronic check,Yes,No,No,No
C10026,Female,43,Mansoura,Delta,2022-05-16,One year,Bank transfer,No,No,Yes,Yes
C10027,Male,25,Cairo,Greater Cairo,2023-04-01,One year,Electronic check,No,Yes,No,Yes
C10028,Male,47,Cairo,Greater Cairo,2022-11-06,Month-to-month,Electronic check,No,Yes,No,Yes
C10029,Male,33,Suez,Suez,2023-05-02,Month-to-month,Electronic check,No,No,No,Yes
C10030,Female,37,Tanta,Delta,2021-06-27,Month-to-month,Bank transfer,No,No,Yes,Yes
C10031,Male,33,Giza,Greater Cairo,2023-01-06,Month-to-month,Electronic check,No,Yes,Yes,Yes
C10032,Male,67,Aswan,Upper Egypt,2023-01-17,One year,Bank transfer,No,Yes,No,No
C10033,Male,41,Alexandria,Delta,2021-06-25,Month-to-month,Electronic check,No,No,No,Yes
C10034,Female,27,Tanta,Delta,2023-11-08,One year,Electronic check,No,Yes,Yes,Yes
C10035,Female,53,Cairo,Greater Cairo,2020-01-08,Month-to-month,Electronic check,No,Yes,No,Yes
C10036,Female,24,Port Said,Suez,2020-01-20,Month-to-month,Credit card,No,Yes,Yes,No
C10037,Male,44,Luxor,Upper Egypt,2020-09-18,Month-to-month,Mailed check,No,Yes,No,Yes
C10038,Male,18,Ismailia,Suez,2020-07-29,Month-to-month,Bank transfer,No,Yes,Yes,No
C10039,Male,23,Luxor,Upper Egypt,2020-02-20,Month-to-month,Credit card,No,No,Yes,Yes
C10040,Male,44,Luxor,Upper Egypt,2020-03-20,Two year,Electronic check,No,No,No,Yes
C10041,Male,52,Tanta,Delta,2020-02-18,One year,Mailed check,No,Yes,No,Yes
C10042,Female,44,Ismailia,Suez,2023-01-03,Month-to-month,Electronic check,No,No,Yes,Yes
C10043,Female,40,Cairo,Greater Cairo,2020-08-10,One year,Mailed check,No,No,Yes,Yes
C10044,Male,37,Mansoura,Delta,2020-03-31,One year,Electronic check,No,Yes,No,Yes
C10045,Female,21,Suez,Suez,2021-10-04,One year,Electronic check,No,No,No,Yes
C10046,Female,31,Port Said,Suez,2020-09-17,Month-to-month,Bank transfer,No,Yes,No,Yes
C10047,Male,35,Mansoura,Delta,2021-08-10,Month-to-month,Credit card,No,No,No,Yes
C10048,Male,56,Port Said,Suez,2022-08-27,One year,Credit card,No,Yes,No,Yes
C10049,Female,46,Giza,Greater Cairo,2021-04-26,One year,Electronic check,No,Yes,Yes,Yes
C10050,Female,18,Suez,Suez,2020-05-29,Month-to-month,Credit card,No,No,No,Yes
C10051,Male,46,Ismailia,Suez,2023-11-09,Month-to-month,Bank transfer,No,Yes,No,Yes
C10052,Female,36,Cairo,Greater Cairo,2023-02-15,Month-to-month,Credit card,No,No,No,No
C10053,Female,32,Suez,Suez,2022-10-30,Month-to-month,Credit card,No,Yes,No,Yes
C10054,Male,50,Ismailia,Suez,2021-07-21,One year,Bank transfer,No,No,No,Yes
C10055,Female,56,Tanta,Delta,2021-07-10,Month-to-month,Credit card,Yes,Yes,Yes,Yes
C10056,Male,55,Hurghada,Red Sea,2021-03-14,Month-to-month,Mailed check,No,No,Yes,Yes
C10057,Female,30,Luxor,Upper Egypt,2023-04-11,Two year,Electronic check,No,No,No,Yes
C10058,Female,37,Mansoura,Delta,2022-03-09,Two year,Credit card,No,Yes,No,Yes
C10059,Female,46,Aswan,Upper Egypt,2020-02-29,Month-to-month,Bank transfer,No,Yes,No,No
C10060,Male,55,Luxor,Upper Egypt,2023-04-27,One year,Electronic check,No,Yes,No,Yes
C10061,Female,35,Luxor,Upper Egypt,2021-11-01,Month-to-month,Electronic check,No,No,No,Yes
C10062,Female,39,Mansoura,Delta,2020-06-16,Month-to-month,Bank transfer,Yes,No,Yes,Yes
C10063,Male,26,Cairo,Greater Cairo,2021-05-21,Month-to-month,Electronic check,Yes,Yes,No,Yes
C10064,Male,25,Aswan,Upper Egypt,2023-12-03,Month-to-month,Mailed check,No,Yes,Yes,No
C10065,Male,53,Suez,Suez,2020-02-22,Two year,Bank transfer,No,No,No,No
C10066,Male,60,Giza,Greater Cairo,2023-04-27,One year,Bank transfer,Yes,No,Yes,No
C10067,Male,40,Assiut,Upper Egypt,2022-12-27,Month-to-month,Mailed check,No,No,Yes,No
C10068,Female,56,Giza,Greater Cairo,2022-06-06,Two year,Bank transfer,No,Yes,No,Yes
C10069,Female,47,Suez,Suez,2023-01-07,One year,Mailed check,No,No,No,No
C10070,Male,32,Mansoura,Delta,2022-07-12,Month-to-month,Mailed check,No,No,No,Yes
C10071,Female,47,Alexandria,Delta,2022-09-25,Month-to-month,Credit card,No,No,Yes,Yes
C10072,Male,63,Giza,Greater Cairo,2021-05-09,One year,Mailed check,No,No,No,Yes
C10073,Male,41,Giza,Greater Cairo,2021-08-25,Month-to-month,Bank transfer,No,No,No,Yes
C10074,Female,63,Luxor,Upper Egypt,2023-02-01,Month-to-month,Bank transfer,No,No,Yes,Yes
C10075,Male,18,Assiut,Upper Egypt,2020-09-01,One year,Credit card,No,Yes,Yes,Yes
C10076,Female,53,Hurghada,Red Sea,2023-04-22,Two year,Bank transfer,No,Yes,Yes,Yes
