region,month,avg_signal_bars,drop_rate_pct,avg_speed_mbps,outage_hours
Greater Cairo,2024-01,4.94,1.09,54.5,0.2
Greater Cairo,2024-02,3.57,1.97,71.7,0.4
Greater Cairo,2024-03,3.63,2.03,54.9,1.5
Greater Cairo,2024-04,3.4,2.38,41.3,0.4
Greater Cairo,2024-05,4.67,2.2,66.5,2.0
Greater Cairo,2024-06,4.13,0.25,44.3,0.0
Greater Cairo,2024-07,4.17,2.03,49.5,0.2
Greater Cairo,2024-08,3.3,2.19,56.0,1.8
Greater Cairo,2024-09,4.3,1.52,57.7,0.3
Greater Cairo,2024-10,4.13,1.77,47.9,0.4
Greater Cairo,2024-11,3.77,1.48,48.9,0.3
Greater Cairo,2024-12,4.51,1.14,63.7,0.4
Delta,2024-01,3.81,1.75,37.9,2.1
Delta,2024-02,4.11,3.16,37.2,3.2
Delta,2024-03,4.6,1.13,59.0,2.0
Delta,2024-04,4.17,3.34,44.2,0.1
Delta,2024-05,4.12,1.47,43.3,2.2
Delta,2024-06,4.38,0.58,72.3,0.6
Delta,2024-07,4.25,3.23,47.0,0.3
Delta,2024-08,4.57,0.2,46.3,1.0
Delta,2024-09,4.24,1.52,66.2,0.5
Delta,2024-10,4.31,0.68,54.3,2.6
Delta,2024-11,4.67,4.08,61.6,0.8
Delta,2024-12,4.32,0.85,59.5,0.6
Upper Egypt,2024-01,4.31,3.73,33.0,1.7
Upper Egypt,2024-02,3.76,2.91,21.7,2.0
Upper Egypt,2024-03,3.08,1.84,26.1,0.9
Upper Egypt,2024-04,3.2,2.81,15.8,1.8
Upper Egypt,2024-05,2.98,2.68,49.3,3.5
Upper Egypt,2024-06,3.78,2.02,19.0,1.8
Upper Egypt,2024-07,2.52,3.21,17.4,1.7
Upper Egypt,2024-08,3.2,3.27,30.0,0.0
Upper Egypt,2024-09,3.45,2.26,32.0,6.8
Upper Egypt,2024-10,3.65,3.06,51.4,5.1
Upper Egypt,2024-11,3.51,3.34,12.8,0.7
Upper Egypt,2024-12,3.53,0.99,47.3,2.0
Suez,2024-01,4.23,0.56,70.8,1.1
Suez,2024-02,4.31,2.1,48.1,0.9
Suez,2024-03,5.03,0.78,60.4,2.3
Suez,2024-04,4.13,0.99,53.2,0.1
Suez,2024-05,4.26,1.28,45.2,0.2
Suez,2024-06,3.87,1.03,58.7,2.9
Suez,2024-07,4.17,0.95,39.9,0.4
Suez,2024-08,4.08,3.26,37.8,0.1
Suez,2024-09,4.54,1.85,52.1,0.1
Suez,2024-10,4.03,1.47,52.4,0.1
Suez,2024-11,4.17,1.09,46.1,2.7
Suez,2024-12,4.05,0.64,50.3,2.7
Red Sea,2024-01,3.33,2.24,23.3,3.3
Red Sea,2024-02,3.59,3.7,24.0,3.1
Red Sea,2024-03,3.68,3.31,33.8,0.9
Red Sea,2024-04,3.52,3.01,38.8,2.4
Red Sea,2024-05,3.12,1.15,36.0,1.2
Red Sea,2024-06,3.28,2.79,26.4,0.2
Red Sea,2024-07,2.98,2.64,19.4,0.2
Red Sea,2024-08,3.59,3.68,35.1,1.2
Red Sea,2024-09,2.91,3.96,30.7,0.5
Red Sea,2024-10,3.55,2.81,40.2,0.9
Red Sea,2024-11,4.01,3.4,21.2,7.3
Red Sea,2024-12,3.31,1.77,24.4,1.1
