sub_id,customer_id,plan_name,internet_service,phone_service,multiple_lines,online_security,tech_support,streaming_tv,device_protection,monthly_charge_egp,total_charge_egp,tenure_months
S10001,C10001,Plus,Fiber,Yes,No,No,Yes,Yes,No,388.66,15402.75,40
S10002,C10002,Basic,DSL,Yes,Yes,Yes,Yes,No,Yes,218.32,9285.82,43
S10003,C10003,Business,Fiber,Yes,No,Yes,Yes,Yes,Yes,822.19,41050.76,50
S10004,C10004,Ultra,Fiber,Yes,Yes,Yes,Yes,No,Yes,619.96,22377.24,36
S10005,C10005,Basic,Fiber,Yes,No,No,No,Yes,No,234.06,4219.21,18
S10006,C10006,Plus,Fiber,Yes,No,Yes,Yes,Yes,No,327.38,14240.71,43
S10007,C10007,Basic,DSL,Yes,Yes,No,No,No,Yes,189.95,7973.27,42
S10008,C10008,Ultra,Fiber,Yes,No,No,Yes,Yes,No,575.35,8502.3,15
S10009,C10009,Plus,DSL,Yes,No,No,No,No,Yes,309.14,13828.74,45
S10010,C10010,Ultra,5G,Yes,No,Yes,No,No,No,662.2,18542.76,28
S10011,C10011,Basic,DSL,Yes,Yes,No,No,No,No,211.36,9146.96,43
S10012,C10012,Basic,Fiber,No,No phone,Yes,Yes,No,No,257.89,8444.03,32
S10013,C10013,Business,Fiber,Yes,No,No,Yes,No,No,792.83,43735.56,55
S10014,C10014,Basic,DSL,Yes,No,No,No,No,Yes,192.48,11413.42,60
S10015,C10015,Plus,DSL,Yes,No,No,Yes,No,Yes,299.68,7558.24,25
S10016,C10016,Plus,Fiber,Yes,Yes,Yes,Yes,Yes,Yes,348.14,13923.84,40
S10017,C10017,Ultra,5G,Yes,Yes,Yes,No,No,Yes,625.33,33200.82,53
S10018,C10018,Business,DSL,Yes,No,No,No,No,No,778.54,30341.35,39
S10019,C10019,Basic,DSL,Yes,Yes,No,Yes,No,No,151.96,8566.51,56
S10020,C10020,Plus,DSL,Yes,Yes,Yes,Yes,Yes,Yes,336.54,18475.79,55
S10021,C10021,Ultra,DSL,Yes,Yes,Yes,Yes,No,Yes,566.17,26017.0,46
S10022,C10022,Business,No Internet,Yes,No,No,Yes,No,No,768.59,10743.87,14
S10023,C10023,Ultra,DSL,No,No phone,No,Yes,No,Yes,580.19,16823.87,29
S10024,C10024,Plus,Fiber,Yes,No,Yes,Yes,Yes,No,350.53,5590.91,16
S10025,C10025,Plus,5G,No,No phone,No,Yes,Yes,No,371.12,12263.03,33
S10026,C10026,Basic,Fiber,Yes,Yes,No,No,Yes,Yes,241.03,7554.9,31
S10027,C10027,Basic,Fiber,Yes,No,Yes,Yes,No,No,276.95,5736.46,21
S10028,C10028,Plus,No Internet,Yes,Yes,Yes,Yes,No,Yes,342.11,8809.32,26
S10029,C10029,Ultra,5G,Yes,No,No,No,No,No,688.12,14449.16,21
S10030,C10030,Plus,DSL,Yes,Yes,No,No,No,No,342.11,14311.53,42
S10031,C10031,Ultra,No Internet,No,No phone,Yes,Yes,No,No,522.36,10858.2,21
S10032,C10032,Plus,5G,Yes,Yes,Yes,Yes,No,No,407.12,10557.45,26
S10033,C10033,Ultra,DSL,Yes,Yes,No,Yes,Yes,No,511.96,21952.93,43
S10034,C10034,Ultra,DSL,Yes,No,No,No,No,No,545.72,7134.49,13
S10035,C10035,Plus,5G,Yes,No,No,Yes,No,Yes,431.95,25949.02,60
S10036,C10036,Plus,Fiber,Yes,Yes,Yes,Yes,Yes,No,374.25,22084.44,59
S10037,C10037,Plus,DSL,Yes,Yes,No,Yes,Yes,Yes,342.03,16721.02,49
S10038,C10038,Plus,5G,Yes,No,Yes,No,Yes,Yes,429.0,23911.66,56
S10039,C10039,Basic,Fiber,Yes,No,Yes,Yes,No,No,272.98,15966.71,58
S10040,C10040,Ultra,5G,No,No phone,Yes,Yes,Yes,Yes,570.44,32009.99,56
S10041,C10041,Plus,5G,Yes,Yes,Yes,No,No,No,399.1,22328.99,56
S10042,C10042,Business,5G,Yes,No,Yes,No,No,Yes,877.23,20121.6,23
S10043,C10043,Ultra,Fiber,Yes,No,Yes,No,No,No,579.64,30153.25,52
S10044,C10044,Basic,No Internet,No,No phone,Yes,No,No,Yes,190.9,10948.81,57
S10045,C10045,Plus,Fiber,Yes,No,Yes,No,No,Yes,391.34,15135.68,39
S10046,C10046,Plus,Fiber,Yes,No,No,No,Yes,No,411.99,21069.81,51
S10047,C10047,Basic,Fiber,Yes,Yes,Yes,Yes,No,Yes,243.52,9451.35,39
S10048,C10048,Basic,Fiber,Yes,No,Yes,No,Yes,No,265.85,7411.2,28
S10049,C10049,Plus,5G,Yes,No,Yes,Yes,Yes,Yes,413.09,18579.11,45
S10050,C10050,Ultra,Fiber,Yes,No,No,Yes,Yes,No,618.67,33434.23,54
S10051,C10051,Plus,Fiber,No,No phone,No,Yes,Yes,No,378.69,6479.18,17
S10052,C10052,Basic,DSL,Yes,Yes,No,Yes,Yes,No,178.27,3742.8,21
S10053,C10053,Ultra,5G,Yes,Yes,Yes,Yes,No,Yes,702.95,18261.97,26
S10054,C10054,Plus,DSL,No,No phone,No,Yes,No,Yes,326.83,12580.4,39
S10055,C10055,Plus,Fiber,Yes,No,No,Yes,No,No,400.4,16479.97,41
S10056,C10056,Basic,5G,Yes,No,No,No,Yes,Yes,277.41,13026.22,47
S10057,C10057,Ultra,Fiber,Yes,Yes,No,No,No,No,551.8,10508.99,19
S10058,C10058,Basic,Fiber,Yes,Yes,No,No,Yes,Yes,229.63,7038.92,31
S10059,C10059,Plus,Fiber,Yes,Yes,Yes,No,No,No,445.04,25708.19,58
S10060,C10060,Plus,DSL,Yes,No,Yes,Yes,Yes,Yes,316.88,5388.22,17
S10061,C10061,Plus,DSL,Yes,No,No,No,Yes,No,328.84,12479.87,38
S10062,C10062,Basic,5G,Yes,No,No,No,No,No,316.01,17224.15,55
S10063,C10063,Ultra,5G,Yes,No,No,No,Yes,No,635.35,26611.26,42
S10064,C10064,Plus,DSL,Yes,No,Yes,Yes,No,Yes,324.11,4858.35,15
S10065,C10065,Plus,Fiber,Yes,No,Yes,No,Yes,Yes,365.22,21400.25,59
S10066,C10066,Plus,5G,Yes,No,Yes,No,No,No,435.74,8252.11,19
S10067,C10067,Basic,Fiber,Yes,Yes,Yes,Yes,Yes,No,283.14,6202.62,22
S10068,C10068,Plus,Fiber,Yes,Yes,No,No,Yes,Yes,383.74,11573.86,30
S10069,C10069,Business,Fiber,Yes,Yes,No,Yes,Yes,No,830.68,22521.15,27
S10070,C10070,Ultra,Fiber,Yes,No,No,No,Yes,No,574.35,16086.79,28
S10071,C10071,Basic,Fiber,Yes,Yes,Yes,Yes,No,No,233.04,6278.06,27
S10072,C10072,Ultra,Fiber,Yes,Yes,Yes,Yes,No,No,589.01,25956.78,44
S10073,C10073,Basic,No Internet,Yes,Yes,Yes,No,No,Yes,187.32,7451.69,40
S10074,C10074,Basic,Fiber,Yes,Yes,No,No,No,Yes,304.62,6398.1,21
S10075,C10075,Ultra,Fiber,Yes,Yes,No,No,No,No,556.78,28630.63,51
S10076,C10076,Plus,No Internet,Yes,Yes,Yes,Yes,Yes,Yes,309.28,5600.31,18
S10077,C10077,Plus,DSL,Yes,Yes,No,No,No,Yes,363.95,14702.61,40
S10078,C10078,Basic,Fiber,Yes,No,No,Yes,No,No,233.6,6286.64,27
S10079,C10079,Plus,No Internet,Yes,Yes,Yes,No,No,No,391.71,10856.06,28
S10080,C10080,Basic,Fiber,No,No phone,Yes,No,Yes,Yes,264.5,11969.53,45
S10081,C10081,Ultra,5G,Yes,Yes,Yes,Yes,Yes,No,588.94,11838.87,20
S10082,C10082,Business,Fiber,Yes,No,No,Yes,Yes,Yes,854.3,46985.44,55
S10083,C10083,Business,No Internet,Yes,Yes,Yes,Yes,No,Yes,731.03,41003.23,56
S10084,C10084,Business,DSL,Yes,No,No,No,Yes,Yes,725.86,14474.11,20
S10085,C10085,Plus,DSL,Yes,Yes,Yes,No,Yes,Yes,302.93,16595.74,55
S10086,C10086,Plus,DSL,Yes,No,Yes,No,Yes,No,309.69,9541.29,31
S10087,C10087,Plus,5G,Yes,Yes,No,Yes,No,No,480.56,19322.6,40
S10088,C10088,Plus,Fiber,Yes,Yes,Yes,Yes,No,No,386.81,8930.03,23
S10089,C10089,Ultra,Fiber,Yes,Yes,Yes,No,No,Yes,579.53,19791.39,34
S10090,C10090,Plus,5G,Yes,No,Yes,Yes,No,No,376.6,12109.13,32
S10091,C10091,Business,Fiber,Yes,Yes,Yes,No,Yes,No,874.7,52386.02,60
S10092,C10092,Ultra,Fiber,Yes,No,Yes,No,No,No,569.75,17724.92,31
S10093,C10093,Plus,DSL,Yes,No,Yes,No,No,No,288.43,15801.58,55
S10094,C10094,Business,DSL,Yes,Yes,No,Yes,No,No,733.97,33081.37,45
S10095,C10095,Ultra,Fiber,Yes,No,No,Yes,Yes,Yes,614.99,8739.36,14
S10096,C10096,Plus,Fiber,Yes,No,No,Yes,No,Yes,369.58,7500.67,20
