ticket_id,customer_id,open_date,close_date,category,priority,satisfaction_score,resolved,handling_time_hours
T1,C14028,2024-01-27,2024-01-27,Network,Medium,4,Yes,5
T2,C14999,2024-12-02,2024-12-02,Billing,Medium,2,Yes,19
T3,C14269,2024-03-28,2024-03-28,Account,Low,1,No,1
T4,C13325,2024-02-21,2024-02-21,Billing,Medium,3,Yes,16
T5,C14668,2024-09-21,2024-09-21,Network,Low,4,No,17
T6,C14418,2024-12-30,2024-12-31,Billing,Low,3,Yes,34
T7,C12590,2024-03-14,2024-03-14,Billing,Low,5,Yes,14
T8,C11943,2024-07-07,2024-07-07,Network,Critical,5,Yes,5
T9,C10599,2024-03-12,2024-03-12,Technical,Low,3,Yes,4
T10,C13404,2024-03-20,2024-03-20,Network,Medium,5,Yes,12
T11,C14273,2024-09-22,2024-09-23,Billing,Low,5,Yes,31
T12,C11978,2024-12-13,2024-12-13,Account,Medium,3,Yes,7
T13,C13430,2024-10-31,2024-11-03,Billing,Medium,4,Yes,78
T14,C10069,2024-02-20,2024-02-20,Billing,Low,3,Yes,6
T15,C13249,2024-06-02,2024-06-02,Billing,Low,5,Yes,2
T16,C12001,2024-02-10,2024-02-10,Network,Low,1,No,20
T17,C13264,2024-12-10,2024-12-10,Billing,Low,2,Yes,9
T18,C11859,2024-01-21,2024-01-21,Technical,High,4,Yes,2
T19,C10772,2024-07-31,2024-08-03,Technical,Medium,5,Yes,82
T20,C14687,2024-09-06,2024-09-06,Account,Medium,5,No,5
T21,C12950,2024-05-23,2024-05-24,Billing,Low,4,No,24
T22,C12743,2024-03-25,2024-03-25,Network,Low,3,Yes,7
T23,C12214,2024-08-08,2024-08-08,Billing,Medium,3,Yes,8
T24,C10655,2024-01-24,2024-01-25,Billing,High,5,Yes,26
T25,C10715,2024-05-03,2024-05-04,Network,Low,3,Yes,31
T26,C12960,2024-09-09,2024-09-12,Billing,Medium,5,Yes,84
T27,C13050,2024-01-06,2024-01-06,Network,High,3,Yes,6
T28,C14117,2024-02-04,2024-02-04,Network,Medium,4,Yes,12
T29,C14889,2024-11-04,2024-11-05,Network,High,5,Yes,42
T30,C12339,2024-03-17,2024-03-17,Network,Critical,5,Yes,1
T31,C10976,2024-04-07,2024-04-10,Technical,Low,4,Yes,73
T32,C11808,2024-10-23,2024-10-23,Billing,High,5,Yes,8
T33,C14897,2024-04-28,2024-04-28,Network,Low,2,Yes,18
T34,C10794,2024-06-05,2024-06-05,Account,Low,5,Yes,15
T35,C13713,2024-08-18,2024-08-18,Technical,Medium,4,Yes,17
T36,C10586,2024-05-12,2024-05-12,Technical,High,3,No,15
T37,C12624,2024-12-12,2024-12-14,Network,Medium,3,Yes,53
T38,C10902,2024-09-27,2024-09-27,Account,High,3,No,15
T39,C11278,2024-08-14,2024-08-14,Network,High,5,Yes,1
T40,C14142,2024-02-21,2024-02-21,Billing,Critical,5,Yes,6
T41,C14653,2024-01-22,2024-01-23,Network,Low,2,Yes,39
T42,C11175,2024-08-03,2024-08-05,Billing,Low,2,Yes,51
T43,C10193,2024-03-10,2024-03-10,Network,Medium,5,Yes,1
