customer_id,month,calls_minutes,sms_count,data_gb,roaming_gb,app_usage_hours,downtime_hours,slow_days
C10001,2024-01,358,159,32.5,0.0,56.4,2.2,1
C10001,2024-02,100,249,42.4,1.0,85.0,2.1,0
C10001,2024-03,243,7,44.1,0.4,52.8,1.2,3
C10001,2024-04,263,151,60.9,0.4,64.5,0.3,3
C10001,2024-05,457,116,66.2,0.2,17.1,0.6,6
C10001,2024-06,453,33,40.7,0.5,44.7,0.6,2
C10001,2024-07,225,65,35.9,0.3,89.5,0.5,2
C10001,2024-08,383,201,56.6,0.4,66.0,0.9,1
C10001,2024-09,369,102,35.1,0.4,56.1,0.6,2
C10001,2024-10,488,165,38.8,0.6,53.1,2.1,1
C10001,2024-11,273,196,31.5,2.2,58.3,0.8,1
C10001,2024-12,269,270,35.0,0.6,43.7,1.1,2
C10002,2024-01,213,268,13.6,1.1,58.8,0.0,0
C10002,2024-02,289,232,53.4,1.0,16.8,0.1,0
C10002,2024-03,331,175,55.5,0.6,37.8,0.2,0
C10002,2024-04,433,119,20.6,0.7,56.1,0.3,0
C10002,2024-05,511,194,53.1,0.6,71.5,0.4,1
C10002,2024-06,429,264,32.1,0.2,37.0,1.5,1
C10002,2024-07,267,118,40.4,0.5,41.9,0.2,1
C10002,2024-08,192,58,38.4,0.3,8.6,0.4,0
C10002,2024-09,392,244,21.9,0.3,57.0,0.0,0
C10002,2024-10,298,132,42.8,0.8,32.0,1.4,0
C10002,2024-11,254,121,49.3,1.2,42.7,0.8,1
C10002,2024-12,192,128,30.9,0.0,60.0,0.1,1
C10003,2024-01,545,74,83.5,1.1,72.1,0.3,1
C10003,2024-02,340,135,62.4,1.1,45.2,2.0,2
C10003,2024-03,405,116,61.4,1.2,90.4,1.3,0
C10003,2024-04,129,177,81.9,3.2,22.9,1.8,1
C10003,2024-05,403,24,64.0,1.9,104.8,3.1,0
C10003,2024-06,441,222,84.3,0.1,60.1,2.4,4
C10003,2024-07,393,74,51.6,0.5,74.1,0.7,2
C10003,2024-08,433,278,71.9,0.2,73.9,0.1,3
C10003,2024-09,394,84,52.6,0.9,31.9,0.4,0
C10003,2024-10,557,115,71.4,0.6,64.4,0.4,0
C10003,2024-11,486,272,83.9,1.0,74.9,0.0,2
C10003,2024-12,698,193,60.2,0.3,44.3,0.5,0
C10004,2024-01,416,119,75.4,0.2,59.6,0.6,2
C10004,2024-02,384,97,64.1,0.1,66.6,0.3,0
C10004,2024-03,476,117,96.2,0.3,63.1,0.9,1
C10004,2024-04,343,169,78.3,0.1,70.6,2.5,0
C10004,2024-05,576,27,51.3,1.3,66.8,4.0,0
C10004,2024-06,462,205,68.6,0.4,78.0,0.2,2
C10004,2024-07,587,124,54.6,1.9,59.7,0.5,1
C10004,2024-08,427,158,76.0,0.0,70.0,1.9,2
C10004,2024-09,330,199,58.6,1.4,43.8,0.3,2
C10004,2024-10,311,229,81.7,0.3,49.4,0.2,3
C10004,2024-11,458,275,67.8,1.7,44.8,1.3,2
C10004,2024-12,412,214,53.1,1.1,72.6,0.9,1
C10005,2024-01,391,289,55.6,0.3,31.8,0.4,3
C10005,2024-02,247,128,41.2,1.0,74.2,0.4,3
C10005,2024-03,494,145,41.2,2.9,47.2,0.4,1
C10005,2024-04,490,157,29.3,0.6,8.8,0.6,3
C10005,2024-05,251,108,52.4,0.7,36.7,3.4,1
C10005,2024-06,229,182,36.1,0.6,67.7,1.0,3
C10005,2024-07,541,103,31.0,0.1,25.6,0.6,2
C10005,2024-08,294,197,39.6,0.3,30.5,2.1,0
C10005,2024-09,220,164,52.9,0.6,56.9,0.3,1
C10005,2024-10,372,57,59.2,5.1,88.1,0.9,2
C10005,2024-11,348,86,42.2,0.4,32.0,0.9,2
C10005,2024-12,351,70,43.7,0.2,77.8,1.1,1
C10006,2024-01,168,0,53.1,1.1,51.8,2.6,0
C10006,2024-02,499,119,28.5,0.3,51.7,0.4,1
C10006,2024-03,448,143,55.5,1.7,55.2,0.6,1
C10006,2024-04,242,238,44.1,1.4,56.8,0.4,1
